time,value
2017-01-01,80899.15
2017-02-01,170696.34
2017-03-01,59321.04
2017-04-01,36176.297
2017-05-01,21625.723
2017-06-01,28947.918
2017-07-01,79147
2017-08-01,45728.402
2017-09-01,35575.465
2017-10-01,38556.3
2017-11-01,7762.636
2017-12-01,57890.406
2018-01-01,80586.87
2018-02-01,168604.22
2018-03-01,71764.04
2018-04-01,27637.38
2018-05-01,26910.564
2018-06-01,28965.678
2018-07-01,77333.96
2018-08-01,46408.457
2018-09-01,41864.438
2018-10-01,36502.92
2018-11-01,8097.9014
2018-12-01,56244.688
2019-01-01,76588.02
2019-02-01,148877.53
2019-03-01,74394.72
2019-04-01,34279.266
2019-05-01,21850.184
2019-06-01,33401.07
2019-07-01,77066.61
2019-08-01,54146.7
2019-09-01,37598.547
2019-10-01,39939.883
2019-11-01,9136.55
2019-12-01,61452.4
2020-01-01,90462.516
2020-02-01,192074.72
2020-03-01,30360.248
2020-04-01,5422.71
2020-05-01,29559.564
2020-06-01,47753.156
2020-07-01,136474.86
2020-08-01,83092.06
2020-09-01,67989.99
2020-10-01,72483.76
2020-11-01,17428.947
2020-12-01,78079.18
2021-01-01,102881.445
2021-02-01,170063.86
2021-03-01,58164.45
2021-04-01,71976.07
2021-05-01,60188.383
2021-06-01,51047.96
2021-07-01,133031.36
2021-08-01,69233.57
2021-09-01,51014.996
2021-10-01,84933.37
2021-11-01,13141.207
2021-12-01,66457.71
2022-01-01,115938.91
2022-02-01,178078.58
2022-03-01,70257
2022-04-01,47991.93
2022-05-01,32407.148
2022-06-01,38970.395
2022-07-01,112064.38
2022-08-01,68711.57
2022-09-01,44169.883
2022-10-01,52637.285
2022-11-01,10872.405
2022-12-01,57114.812
2023-01-01,104898.805
2023-02-01,170854.47
2023-03-01,56422.285
2023-04-01,44278.293
2023-05-01,34535.984
2023-06-01,35900.13
2023-07-01,86609.54
2023-08-01,48780.832
2023-09-01,41645.926
2023-10-01,48985.89
2023-11-01,10962.661
2023-12-01,62961.695
2024-01-01,90871.34
2024-02-01,150222.12
2024-03-01,60281.793
2024-04-01,29398.625
2024-05-01,33902.07
2024-06-01,34764.31
2024-07-01,77002.68
2024-08-01,54504.406
2024-09-01,41778.703
2024-10-01,41885.043
2024-11-01,11191.063
2024-12-01,55603.902
2025-01-01,93942.11
2025-02-01,146863.6
2025-03-01,71076.56
2025-04-01,38254.297
2025-05-01,29348.67
2025-06-01,40595.703
2025-07-01,78047.79
2025-08-01,52804.83
2025-09-01,39023.906
2025-10-01,42240.492
2025-11-01,10803.411
2025-12-01,61215.32
2026-01-01,111881.234
2026-02-01,120422.43
2026-03-01,41773.71
