time,value
2017-01-01,847243.2
2017-02-01,1594862.9
2017-03-01,805370.94
2017-04-01,419687.1
2017-05-01,194853.6
2017-06-01,321505.28
2017-07-01,912413.94
2017-08-01,940149.8
2017-09-01,371876.94
2017-10-01,371017.12
2017-11-01,65922.29
2017-12-01,474422.84
2018-01-01,873835.94
2018-02-01,1598000.9
2018-03-01,931716.56
2018-04-01,357263.53
2018-05-01,245758.16
2018-06-01,338797.34
2018-07-01,951804.06
2018-08-01,902491.44
2018-09-01,391405.28
2018-10-01,356880.5
2018-11-01,68321.52
2018-12-01,514053.25
2019-01-01,832871.3
2019-02-01,1340014.9
2019-03-01,865116
2019-04-01,391722.03
2019-05-01,206194.52
2019-06-01,397306.6
2019-07-01,900470.5
2019-08-01,915675.3
2019-09-01,395617.78
2019-10-01,383524.84
2019-11-01,80320.16
2019-12-01,548458.1
2020-01-01,873921.3
2020-02-01,1620093.6
2020-03-01,446923.22
2020-04-01,44365.234
2020-05-01,127818.23
2020-06-01,309012.2
2020-07-01,1161114.4
2020-08-01,928696.25
2020-09-01,532114.75
2020-10-01,494263.06
2020-11-01,99683.16
2020-12-01,521433.12
2021-01-01,642251.25
2021-02-01,1291743.1
2021-03-01,594068.06
2021-04-01,449524.06
2021-05-01,339504.8
2021-06-01,386180.4
2021-07-01,1120047.4
2021-08-01,1023328.3
2021-09-01,486655.9
2021-10-01,562899.1
2021-11-01,103167.46
2021-12-01,552800.5
2022-01-01,904096.3
2022-02-01,1487933.6
2022-03-01,862102.75
2022-04-01,457170.9
2022-05-01,246728.92
2022-06-01,380725.47
2022-07-01,956780.4
2022-08-01,914770.25
2022-09-01,403425.03
2022-10-01,420456.53
2022-11-01,98494.87
2022-12-01,519581.38
2023-01-01,913748.5
2023-02-01,1460715.6
2023-03-01,689216.2
2023-04-01,406472.97
2023-05-01,289823.1
2023-06-01,399704.88
2023-07-01,891918.2
2023-08-01,829863.5
2023-09-01,404328.38
2023-10-01,390545.22
2023-11-01,90940.76
2023-12-01,452825.22
2024-01-01,860607.5
2024-02-01,1371846.8
2024-03-01,719661
2024-04-01,282246.7
2024-05-01,303062.88
2024-06-01,401348.78
2024-07-01,849809.6
2024-08-01,881348.25
2024-09-01,416664.94
2024-10-01,361225.72
2024-11-01,94591.234
2024-12-01,518507.66
2025-01-01,899511.1
2025-02-01,1314661.9
2025-03-01,756123.8
2025-04-01,370102.22
2025-05-01,273504.78
2025-06-01,438400.66
2025-07-01,906667.3
2025-08-01,894805.3
2025-09-01,431358.7
2025-10-01,379963.28
2025-11-01,102417.71
2025-12-01,598726.94
2026-01-01,891853.4
2026-02-01,1248560.8
2026-03-01,566301
