time,value
2017-01-01,8.566915
2017-02-01,6.401594
2017-03-01,8.627198
2017-04-01,6.3319173
2017-05-01,4.9945235
2017-06-01,5.8132906
2017-07-01,6.365136
2017-08-01,8.404698
2017-09-01,7.0012975
2017-10-01,5.9428535
2017-11-01,6.393716
2017-12-01,5.5284743
2018-01-01,7.9037337
2018-02-01,6.4669423
2018-03-01,6.921809
2018-04-01,7.943766
2018-05-01,4.755156
2018-06-01,5.134858
2018-07-01,6.7286167
2018-08-01,8.038122
2018-09-01,6.4694133
2018-10-01,5.514296
2018-11-01,5.0645747
2018-12-01,5.494591
2019-01-01,8.105345
2019-02-01,6.641554
2019-03-01,6.9230814
2019-04-01,6.394716
2019-05-01,4.8616676
2019-06-01,5.325037
2019-07-01,6.3352036
2019-08-01,7.5406666
2019-09-01,6.57811
2019-10-01,5.63354
2019-11-01,5.050581
2019-12-01,5.6544147
2020-01-01,7.401938
2020-02-01,6.2103133
2020-03-01,9.641111
2020-04-01,12.130739
2020-05-01,6.229511
2020-06-01,5.3901963
2020-07-01,7.32918
2020-08-01,8.10138
2020-09-01,8.103891
2020-10-01,6.992813
2020-11-01,5.907491
2020-12-01,6.6926756
2021-01-01,6.767197
2021-02-01,7.318
2021-03-01,6.6087375
2021-04-01,7.7438316
2021-05-01,5.7284794
2021-06-01,7.265464
2021-07-01,6.8403006
2021-08-01,8.642899
2021-09-01,8.599384
2021-10-01,5.858004
2021-11-01,5.0909553
2021-12-01,6.520427
2022-01-01,7.0446925
2022-02-01,6.077953
2022-03-01,8.550004
2022-04-01,6.531444
2022-05-01,4.6382318
2022-06-01,5.201054
2022-07-01,4.8742127
2022-08-01,5.944252
2022-09-01,4.461333
2022-10-01,4.677602
2022-11-01,4.6168766
2022-12-01,5.575376
2023-01-01,7.593276
2023-02-01,6.1699724
2023-03-01,7.4524984
2023-04-01,5.4513297
2023-05-01,4.446029
2023-06-01,5.173328
2023-07-01,5.903456
2023-08-01,7.1168213
2023-09-01,5.433372
2023-10-01,3.9693882
2023-11-01,3.8613753
2023-12-01,4.223213
2024-01-01,7.1959763
2024-02-01,6.4594445
2024-03-01,6.2309613
2024-04-01,5.272102
2024-05-01,4.347972
2024-06-01,4.918233
2024-07-01,5.629023
2024-08-01,6.710903
2024-09-01,5.7662587
2024-10-01,4.6579175
2024-11-01,4.052701
2024-12-01,5.49499
2025-01-01,6.6616564
2025-02-01,6.43263
2025-03-01,6.2985096
2025-04-01,5.1062484
2025-05-01,3.978274
2025-06-01,4.469304
2025-07-01,5.9489994
2025-08-01,6.942582
2025-09-01,5.7174726
2025-10-01,4.9993796
2025-11-01,4.6445103
2025-12-01,5.7577176
2026-01-01,6.2170167
2026-02-01,6.5116525
2026-03-01,6.6107454
