time,value
2017-01-01,6.766846
2017-02-01,7.129887
2017-03-01,8.11937
2017-04-01,5.509917
2017-05-01,4.726404
2017-06-01,5.3492656
2017-07-01,6.665962
2017-08-01,9.031456
2017-09-01,5.457978
2017-10-01,7.122579
2017-11-01,4.2577896
2017-12-01,4.6799564
2018-01-01,6.886816
2018-02-01,7.1459737
2018-03-01,6.054486
2018-04-01,6.9347367
2018-05-01,4.7591763
2018-06-01,5.748026
2018-07-01,6.885851
2018-08-01,8.099019
2018-09-01,4.979997
2018-10-01,6.9018397
2018-11-01,4.419921
2018-12-01,5.0519557
2019-01-01,7.1500554
2019-02-01,6.9496703
2019-03-01,6.737932
2019-04-01,5.5791802
2019-05-01,4.609649
2019-06-01,5.2981834
2019-07-01,6.903558
2019-08-01,7.448685
2019-09-01,5.5611014
2019-10-01,6.7219944
2019-11-01,4.641774
2019-12-01,5.0730767
2020-01-01,6.7203946
2020-02-01,6.3839836
2020-03-01,9.632208
2020-04-01,7.008633
2020-05-01,4.093506
2020-06-01,5.6440682
2020-07-01,6.9573145
2020-08-01,6.93025
2020-09-01,6.1157937
2020-10-01,6.090359
2020-11-01,4.7963715
2020-12-01,5.643373
2021-01-01,5.3647795
2021-02-01,7.0649366
2021-03-01,7.723841
2021-04-01,5.320808
2021-05-01,4.915432
2021-06-01,6.3070016
2021-07-01,6.6971145
2021-08-01,8.805222
2021-09-01,6.461549
2021-10-01,5.4902015
2021-11-01,4.6660786
2021-12-01,5.457261
2022-01-01,5.443101
2022-02-01,6.8937454
2022-03-01,7.897225
2022-04-01,5.2871575
2022-05-01,4.978654
2022-06-01,5.478355
2022-07-01,5.465723
2022-08-01,6.5170927
2022-09-01,5.3291984
2022-10-01,5.8899226
2022-11-01,4.538928
2022-12-01,5.1034355
2023-01-01,6.1175385
2023-02-01,6.9615355
2023-03-01,7.170321
2023-04-01,4.626914
2023-05-01,4.5605793
2023-06-01,5.1626177
2023-07-01,6.2452264
2023-08-01,7.7851067
2023-09-01,5.1387343
2023-10-01,5.6453695
2023-11-01,4.244286
2023-12-01,4.0805964
2024-01-01,6.3929095
2024-02-01,7.1841316
2024-03-01,5.8122334
2024-04-01,5.3453646
2024-05-01,4.390296
2024-06-01,5.3750687
2024-07-01,6.503686
2024-08-01,7.0176377
2024-09-01,5.4195075
2024-10-01,5.8337255
2024-11-01,4.4646645
2024-12-01,5.0693865
2025-01-01,6.3846483
2025-02-01,6.7529807
2025-03-01,6.0417814
2025-04-01,4.931477
2025-05-01,4.304191
2025-06-01,4.839183
2025-07-01,6.6836166
2025-08-01,6.790744
2025-09-01,5.548663
2025-10-01,5.8311405
2025-11-01,4.8304315
2025-12-01,5.22429
2026-01-01,5.2283397
2026-02-01,7.7169905
2026-03-01,6.59032
