time,value
2017-01-01,33252.78
2017-02-01,35796.414
2017-03-01,33075.645
2017-04-01,36012.215
2017-05-01,28522.295
2017-06-01,39270.977
2017-07-01,72263.32
2017-08-01,66448.62
2017-09-01,35622.688
2017-10-01,22378.076
2017-11-01,10511.226
2017-12-01,18635.768
2018-01-01,26627.639
2018-02-01,31300.564
2018-03-01,39796.055
2018-04-01,30860.36
2018-05-01,29232.244
2018-06-01,35432.91
2018-07-01,69528
2018-08-01,69427.79
2018-09-01,37879.34
2018-10-01,20168.385
2018-11-01,10623.582
2018-12-01,20600.293
2019-01-01,23744.844
2019-02-01,28737.814
2019-03-01,39280.06
2019-04-01,33412.258
2019-05-01,27199.615
2019-06-01,42081.9
2019-07-01,76513.12
2019-08-01,76809.08
2019-09-01,39804.71
2019-10-01,23042.46
2019-11-01,9989.199
2019-12-01,21053.508
2020-01-01,26777.568
2020-02-01,34018.066
2020-03-01,12276.828
2020-04-01,3316.531
2020-05-01,1114.6808
2020-06-01,4586.0586
2020-07-01,28968.904
2020-08-01,35570.176
2020-09-01,15225.617
2020-10-01,3659.723
2020-11-01,849.8377
2020-12-01,1600.674
2021-01-01,1665.342
2021-02-01,2519.4275
2021-03-01,5075.0986
2021-04-01,5156.951
2021-05-01,3162.7378
2021-06-01,7822.0117
2021-07-01,32523.111
2021-08-01,51969.07
2021-09-01,22756.281
2021-10-01,9715.621
2021-11-01,5650.0913
2021-12-01,9999.383
2022-01-01,14508.112
2022-02-01,19344.504
2022-03-01,28584.105
2022-04-01,28389.236
2022-05-01,19239.54
2022-06-01,32047.967
2022-07-01,65839.26
2022-08-01,65972.1
2022-09-01,34234.516
2022-10-01,19505.45
2022-11-01,10342.139
2022-12-01,18079.479
2023-01-01,26863.557
2023-02-01,30910.518
2023-03-01,32712.3
2023-04-01,36813.83
2023-05-01,28785.764
2023-06-01,43501.727
2023-07-01,76660.64
2023-08-01,73918.39
2023-09-01,44738.36
2023-10-01,24529.244
2023-11-01,11427.163
2023-12-01,21510.479
2024-01-01,28682.861
2024-02-01,30645.59
2024-03-01,39508.77
2024-04-01,28055.553
2024-05-01,30726.422
2024-06-01,37529.977
2024-07-01,78953.7
2024-08-01,82620.695
2024-09-01,37779.9
2024-10-01,22614.783
2024-11-01,10462.02
2024-12-01,21871.117
2025-01-01,28457.531
2025-02-01,27984.01
2025-03-01,42787.074
2025-04-01,38115.824
2025-05-01,29359.91
2025-06-01,44782.97
2025-07-01,59966.594
2025-08-01,62612.426
2025-09-01,34703.164
2025-10-01,23908.207
2025-11-01,10333.413
2025-12-01,24844.998
2026-01-01,26265.07
2026-02-01,30799.23
2026-03-01,37466.867
