time,value
2017-01-01,22620.525
2017-02-01,18715.998
2017-03-01,20585.662
2017-04-01,12023.458
2017-05-01,7604.5493
2017-06-01,8877.485
2017-07-01,15460.611
2017-08-01,15335.424
2017-09-01,9119.877
2017-10-01,7325.7954
2017-11-01,3344.3108
2017-12-01,5127.7725
2018-01-01,8784.234
2018-02-01,20104.93
2018-03-01,14607.458
2018-04-01,7457.6064
2018-05-01,5870.2515
2018-06-01,6239.417
2018-07-01,10347.333
2018-08-01,12943.167
2018-09-01,6270.1367
2018-10-01,4982.6826
2018-11-01,2259.6628
2018-12-01,7232.4346
2019-01-01,13103.07
2019-02-01,16739.176
2019-03-01,12593.256
2019-04-01,7783.766
2019-05-01,5234.453
2019-06-01,8289.48
2019-07-01,13401.681
2019-08-01,12560.36
2019-09-01,7392.9985
2019-10-01,5099.4907
2019-11-01,1121.3872
2019-12-01,7791.588
2020-01-01,9642.686
2020-02-01,12703.522
2020-03-01,6144.7485
2020-04-01,969.01746
2020-05-01,370.4201
2020-06-01,1088.3257
2020-07-01,6174.6934
2020-08-01,7635.7964
2020-09-01,3202.1064
2020-10-01,2146.7078
2020-11-01,1183.5839
2020-12-01,1337.5846
2021-01-01,1047.153
2021-02-01,1375.8856
2021-03-01,1531.294
2021-04-01,2273.6682
2021-05-01,891.5709
2021-06-01,2161.2156
2021-07-01,8056.103
2021-08-01,10254.907
2021-09-01,4696.1616
2021-10-01,2937.2036
2021-11-01,2025.092
2021-12-01,6485.96
2022-01-01,11228.853
2022-02-01,10734.103
2022-03-01,14317.812
2022-04-01,8441.283
2022-05-01,5887.4097
2022-06-01,8229.364
2022-07-01,14486.372
2022-08-01,15423.447
2022-09-01,8051.2583
2022-10-01,8091.3276
2022-11-01,4364.205
2022-12-01,10461.519
2023-01-01,12329.622
2023-02-01,12946.941
2023-03-01,14851.45
2023-04-01,7998.046
2023-05-01,7537.2476
2023-06-01,8482.625
2023-07-01,11619.681
2023-08-01,11379.529
2023-09-01,6913.073
2023-10-01,6232.104
2023-11-01,3239.2886
2023-12-01,7863.2217
2024-01-01,11624.313
2024-02-01,12636.678
2024-03-01,12404.843
2024-04-01,5455.1006
2024-05-01,6786.263
2024-06-01,8748.963
2024-07-01,13858.447
2024-08-01,16623.451
2024-09-01,6762.8257
2024-10-01,5816.4634
2024-11-01,2563.8538
2024-12-01,7263.9346
2025-01-01,12603.437
2025-02-01,15592.594
2025-03-01,13354.014
2025-04-01,8513.815
2025-05-01,5997.547
2025-06-01,8341.332
2025-07-01,14442.284
2025-08-01,16174.718
2025-09-01,7453.853
2025-10-01,6114.311
2025-11-01,2527.7988
2025-12-01,9186.995
2026-01-01,12519.896
2026-02-01,14786.1455
2026-03-01,15011.043
