time,value
2017-01-01,21468.818
2017-02-01,28898.797
2017-03-01,18580.766
2017-04-01,14125.293
2017-05-01,13655.286
2017-06-01,18260.783
2017-07-01,26858.322
2017-08-01,21978.799
2017-09-01,18755.873
2017-10-01,16297.996
2017-11-01,6917.911
2017-12-01,11083.716
2018-01-01,18160.666
2018-02-01,27695.246
2018-03-01,16739.688
2018-04-01,13209.95
2018-05-01,12989.176
2018-06-01,19393.168
2018-07-01,26863.84
2018-08-01,24486.713
2018-09-01,19667.441
2018-10-01,16274.066
2018-11-01,5753.9473
2018-12-01,8683.217
2019-01-01,18705.33
2019-02-01,25316.717
2019-03-01,19717.24
2019-04-01,15219.4795
2019-05-01,13988.774
2019-06-01,19929.246
2019-07-01,29931.555
2019-08-01,24876.846
2019-09-01,19292.047
2019-10-01,14403.609
2019-11-01,10328.085
2019-12-01,10797.642
2020-01-01,20239.695
2020-02-01,25779.932
2020-03-01,11444.467
2020-04-01,5176.547
2020-05-01,5169.576
2020-06-01,9496.1
2020-07-01,25293.55
2020-08-01,17968.295
2020-09-01,18925.777
2020-10-01,12880.707
2020-11-01,4188.0684
2020-12-01,9694.994
2021-01-01,9052.484
2021-02-01,11958.572
2021-03-01,8712.244
2021-04-01,10980.224
2021-05-01,10140.422
2021-06-01,12784.435
2021-07-01,29503.578
2021-08-01,24134.879
2021-09-01,24315.533
2021-10-01,17438.666
2021-11-01,5647.114
2021-12-01,10531.629
2022-01-01,12171.351
2022-02-01,19852.297
2022-03-01,20060.912
2022-04-01,16419.875
2022-05-01,17069.723
2022-06-01,19480.283
2022-07-01,26472.158
2022-08-01,26197.807
2022-09-01,24456.895
2022-10-01,17890.775
2022-11-01,8347.28
2022-12-01,10438.917
2023-01-01,19307.535
2023-02-01,25834.617
2023-03-01,22201.21
2023-04-01,12676.79
2023-05-01,14203.069
2023-06-01,18532.88
2023-07-01,26548.621
2023-08-01,19176.521
2023-09-01,19725.37
2023-10-01,15392.75
2023-11-01,6183.1396
2023-12-01,9812.293
2024-01-01,19469.002
2024-02-01,26175.984
2024-03-01,17501.256
2024-04-01,13283.23
2024-05-01,15362.472
2024-06-01,18934.527
2024-07-01,29965.826
2024-08-01,24085.951
2024-09-01,21095.443
2024-10-01,16523.947
2024-11-01,6788.0547
2024-12-01,9460.134
2025-01-01,20944.875
2025-02-01,32559.547
2025-03-01,19311.15
2025-04-01,15132.65
2025-05-01,17040.475
2025-06-01,20070.836
2025-07-01,29918.41
2025-08-01,23645.713
2025-09-01,25148.877
2025-10-01,20990.582
2025-11-01,13607.107
2025-12-01,11925.545
2026-01-01,24331.365
2026-02-01,28539.72
2026-03-01,17054.15
