time,value
2017-01-01,34239.637
2017-02-01,34790.562
2017-03-01,27118.434
2017-04-01,18751.951
2017-05-01,15979.083
2017-06-01,20258.082
2017-07-01,30787.37
2017-08-01,26780.762
2017-09-01,20794.424
2017-10-01,17742.576
2017-11-01,7756.693
2017-12-01,11928.69
2018-01-01,21151.455
2018-02-01,35398.406
2018-03-01,23000.773
2018-04-01,15465.679
2018-05-01,14801.447
2018-06-01,20959.396
2018-07-01,28748.445
2018-08-01,28070.078
2018-09-01,20793.645
2018-10-01,17156.658
2018-11-01,6466.6353
2018-12-01,11164.69
2019-01-01,22953.447
2019-02-01,29627.914
2019-03-01,23652.697
2019-04-01,17315.291
2019-05-01,15438.057
2019-06-01,21847.656
2019-07-01,31993.777
2019-08-01,27339.535
2019-09-01,20534.295
2019-10-01,15407.456
2019-11-01,10432.584
2019-12-01,12963.704
2020-01-01,22264.328
2020-02-01,28617.398
2020-03-01,12335.1875
2020-04-01,5467.3403
2020-05-01,5225.4204
2020-06-01,9652.861
2020-07-01,26370.045
2020-08-01,20737.393
2020-09-01,19355.375
2020-10-01,13276.559
2020-11-01,4485.164
2020-12-01,9945.586
2021-01-01,9639.524
2021-02-01,12970.06
2021-03-01,9795.514
2021-04-01,11598.057
2021-05-01,10486.023
2021-06-01,13124.07
2021-07-01,30649.732
2021-08-01,27957.115
2021-09-01,26042.357
2021-10-01,17899.84
2021-11-01,6534.484
2021-12-01,12144.232
2022-01-01,16954.861
2022-02-01,21972.162
2022-03-01,23304.56
2022-04-01,19024.207
2022-05-01,18554.059
2022-06-01,21677.758
2022-07-01,29576.238
2022-08-01,31080.39
2022-09-01,27371.373
2022-10-01,19841.605
2022-11-01,10000.012
2022-12-01,13582.224
2023-01-01,22332.545
2023-02-01,27777.436
2023-03-01,25540.03
2023-04-01,14997.825
2023-05-01,15945.973
2023-06-01,20213.266
2023-07-01,29809.037
2023-08-01,23555.773
2023-09-01,21506.49
2023-10-01,16683.28
2023-11-01,7763.188
2023-12-01,12249.749
2024-01-01,23253.795
2024-02-01,27417
2024-03-01,21277.578
2024-04-01,14303.551
2024-05-01,17095.625
2024-06-01,20302.762
2024-07-01,35275.023
2024-08-01,31565.465
2024-09-01,22404.3
2024-10-01,17747.467
2024-11-01,7350.646
2024-12-01,11380.329
2025-01-01,26035.64
2025-02-01,35903.89
2025-03-01,22842.31
2025-04-01,17040.95
2025-05-01,18293.205
2025-06-01,21496.787
2025-07-01,34001.805
2025-08-01,31519.15
2025-09-01,26628.951
2025-10-01,21896.941
2025-11-01,13845.743
2025-12-01,14519.716
2026-01-01,27800.504
2026-02-01,31567.115
2026-03-01,22341.477
