time,value
2017-01-01,3.006473
2017-02-01,3.2777815
2017-03-01,2.8084831
2017-04-01,2.6637633
2017-05-01,2.262393
2017-06-01,2.323124
2017-07-01,2.7569232
2017-08-01,2.426941
2017-09-01,2.1735547
2017-10-01,2.7926981
2017-11-01,1.9638762
2017-12-01,2.4606855
2018-01-01,2.873898
2018-02-01,3.2483983
2018-03-01,2.5560212
2018-04-01,2.4524827
2018-05-01,2.292273
2018-06-01,2.1996915
2018-07-01,2.6372118
2018-08-01,2.1976504
2018-09-01,2.0215886
2018-10-01,2.7241325
2018-11-01,1.9131372
2018-12-01,2.4675994
2019-01-01,3.0165224
2019-02-01,3.1693408
2019-03-01,2.6183991
2019-04-01,2.5858574
2019-05-01,2.2261174
2019-06-01,2.2182453
2019-07-01,2.590774
2019-08-01,2.0801182
2019-09-01,2.05965
2019-10-01,2.6878033
2019-11-01,1.9283574
2019-12-01,2.4771974
2020-01-01,2.9591157
2020-02-01,3.2230728
2020-03-01,3.0386388
2020-04-01,3.2430189
2020-05-01,2.0684552
2020-06-01,1.6073139
2020-07-01,2.3999503
2020-08-01,1.9752325
2020-09-01,2.033907
2020-10-01,3.1515183
2020-11-01,3.3707056
2020-12-01,2.3749986
2021-01-01,2.7849224
2021-02-01,2.7019303
2021-03-01,2.186427
2021-04-01,2.1639485
2021-05-01,2.230553
2021-06-01,2.0488083
2021-07-01,2.7087107
2021-08-01,2.1502104
2021-09-01,2.2359886
2021-10-01,2.7892985
2021-11-01,1.9523757
2021-12-01,2.2744324
2022-01-01,2.6962843
2022-02-01,2.8630345
2022-03-01,2.7063038
2022-04-01,2.6169722
2022-05-01,2.4041154
2022-06-01,2.2482326
2022-07-01,2.4011154
2022-08-01,2.2373762
2022-09-01,2.0768483
2022-10-01,2.7084143
2022-11-01,1.9082283
2022-12-01,2.47248
2023-01-01,2.9173841
2023-02-01,3.3449442
2023-03-01,2.7148428
2023-04-01,2.4837816
2023-05-01,2.25622
2023-06-01,2.187138
2023-07-01,2.565176
2023-08-01,2.208965
2023-09-01,1.9869854
2023-10-01,2.65921
2023-11-01,1.8738319
2023-12-01,2.4673486
2024-01-01,2.8473253
2024-02-01,3.215941
2024-03-01,2.6038744
2024-04-01,2.4077618
2024-05-01,2.3036933
2024-06-01,2.2823608
2024-07-01,2.586839
2024-08-01,2.094701
2024-09-01,2.1655388
2024-10-01,2.7688591
2024-11-01,1.7630767
2024-12-01,2.5704393
2025-01-01,2.9010184
2025-02-01,3.2518337
2025-03-01,2.6450076
2025-04-01,2.609053
2025-05-01,2.3509622
2025-06-01,2.279039
2025-07-01,3.5411744
2025-08-01,2.8836524
2025-09-01,2.5867815
2025-10-01,2.7092931
2025-11-01,1.9159484
2025-12-01,2.6403942
2026-01-01,3.0470593
2026-02-01,3.3738182
2026-03-01,2.5600884
